編號,銀行,信用卡,國內現金回饋,國外現金回饋,關鍵字,產品特色,限制,首刷禮,首刷優惠,手續費,年費,最低年收入,最低年齡,,,
1,安泰銀行,分期卡,0.00%,0.00%,N/A,"不分國內外、不分店家、不分實體/網路消費，只要達到您設定的金額，即可自動分期。

單筆消費滿NT$3,000可分6期0利率，單筆消費滿NT$10,000可分12期0利率",變更分期期數或最低分期金額設定時，需支付設定手續費每次新台幣100元。,N/A,N/A,1.50%,"年費
永久免年費",N/A,20,0.0000,http://2.bp.blogspot.com/-OByy2h0kxow/USZFU0cUvCI/AAAAAAAACQY/HBgRlg5NLNI/s1600/安泰銀行+LOGO-1.jpg,https://ebanking.entiebank.com.tw/entiebank-web/login
2,安泰銀行,鈦金卡,0.25%,0.75%,旅遊優惠,"NT$5,000萬旅遊平安險

消費達門檻最高1.2%現金回饋，國外消費再享0.5%現金回饋",N/A,N/A,N/A,1.50%,"首年免年費
永久免年費","$600,000",20,0.0100,http://2.bp.blogspot.com/-OByy2h0kxow/USZFU0cUvCI/AAAAAAAACQY/HBgRlg5NLNI/s1600/安泰銀行+LOGO-1.jpg,https://ebanking.entiebank.com.tw/entiebank-web/login
3,安泰銀行,晶緻卡,0.25%,0.75%,旅遊優惠,"NT$5,000萬旅遊平安險

現金回饋最高1.2%，國外消費再享0.5%現金回饋",N/A,N/A,N/A,1.50%,"年費
首年免年費",N/A,20,0.0100,http://2.bp.blogspot.com/-OByy2h0kxow/USZFU0cUvCI/AAAAAAAACQY/HBgRlg5NLNI/s1600/安泰銀行+LOGO-1.jpg,https://ebanking.entiebank.com.tw/entiebank-web/login
4,第一銀行,一卡通聯名卡,1.00%,3.00%,電子支付功能(悠遊卡、一卡通、iCash),"不限通路，沒有級距，刷卡新增一般消費均享1%現金回饋。All in 1%現金回饋如未於回饋當月(含)起算6個月折抵完畢，回饋金將自動歸零。
新戶享外幣3%回饋 ，活動期間首次申辦 一卡通聯名卡之新戶且申請電子帳單者，於核卡一年內之外幣一般消費享3%回饋！（含原回饋1％，每戶每月回饋上限新臺幣5,000元，正/附卡合併計算）。活動期間至2018/12/31。
首次自動加值消費滿千享LINE Points 5%回饋，持一卡通聯名卡至全台適用一卡通小額消費通路，首次啟動一卡通自動加值並消費累計滿新臺幣1,000元，即享免費兌換LINE Points 50點!每卡限贈一次，限量6000名，活動期間至2018/8/3",N/A,N/A,N/A,1.50%,"正卡年費：NT$300 首年免年費
免年費條件：年消費一次不限金額，即免次年年費。",N/A,20,0.0400,https://www.energypark.org.tw/_admin/_upload/topGoal/GoalCom/373/photo4/LOGO-C(FB).jpg,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=1&cad=rja&uact=8&ved=0ahUKEwjJpbXWw-nbAhXUdt4KHW6mDx0QFggnMAA&url=https%3A%2F%2Fwww.firstbank.com.tw%2F&usg=AOvVaw0MLR2jOl_Cehc6E7w-aN4M
5,第一銀行,鈦金商旅卡,1.00%,2.00%,N/A,"外幣簽帳無上限現金回饋1.6%~2%
臺幣累積簽帳金額無上限現金回饋0.6%~1%","個人商旅卡(不含公司卡)若連續3個月帳單金額國內一般消費滿9,999元，次月帳單外幣簽帳回饋加碼至2%。 正附卡消費可合併計算，惟不得與持卡人其他卡種合併計算，若未達前述標準，仍得享外幣簽帳1.6%回饋。 公司信用卡國內金額累計不包含公司其他持卡人消費。",N/A,N/A,1.50%,首年免年費,N/A,20,0.0300,https://www.energypark.org.tw/_admin/_upload/topGoal/GoalCom/373/photo4/LOGO-C(FB).jpg,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=1&cad=rja&uact=8&ved=0ahUKEwjJpbXWw-nbAhXUdt4KHW6mDx0QFggnMAA&url=https%3A%2F%2Fwww.firstbank.com.tw%2F&usg=AOvVaw0MLR2jOl_Cehc6E7w-aN4M
6,第一銀行,i-Fun愛玩樂卡,1.00%,0.30%,N/A,一般消費享0.3~0.5%回饋；趣消費項目可享1%回饋,"當期帳單ㄧ般消費回饋門檻：NT5千以下享0.3%回饋；NT5千以上享0.5%回饋
當期消費排除趣消費之ㄧ般消費金額達NT1千以上，才可享趣消費項目1%回饋。趣消費係指網路購物、王品餐飲、誠品、金石堂、錢櫃、好樂迪、星聚點。每月上限NT1千元",N/A,N/A,1.50%,"正卡年費:晶緻卡NT$1200 首年免年費
免年費條件：年消費一次不限金額，即免次年年費。",N/A,20,0.0130,https://www.energypark.org.tw/_admin/_upload/topGoal/GoalCom/373/photo4/LOGO-C(FB).jpg,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=1&cad=rja&uact=8&ved=0ahUKEwjJpbXWw-nbAhXUdt4KHW6mDx0QFggnMAA&url=https%3A%2F%2Fwww.firstbank.com.tw%2F&usg=AOvVaw0MLR2jOl_Cehc6E7w-aN4M
7,第一銀行,媚儷鈦金卡,1.00%,0.00%,通路聯名,"當月累積簽帳達1萬元，現金回饋0.7%，1萬元以下回饋0.1%
24家大型百貨公司及電視購物滿額加碼回饋，最高1.7%",N/A,N/A,N/A,1.50%,首年免年費,N/A,20,0.0100,https://www.energypark.org.tw/_admin/_upload/topGoal/GoalCom/373/photo4/LOGO-C(FB).jpg,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=1&cad=rja&uact=8&ved=0ahUKEwjJpbXWw-nbAhXUdt4KHW6mDx0QFggnMAA&url=https%3A%2F%2Fwww.firstbank.com.tw%2F&usg=AOvVaw0MLR2jOl_Cehc6E7w-aN4M
8,第一銀行,Living Green綠活卡,0.00%,0.00%,旅遊優惠,"刷卡消費達門檻 捷運/臺鐵/高鐵5%現金回饋，活動期間當期帳單新增一般消費（不含自動加值）滿3筆新臺幣599元（含）以上（兩種版面卡片分開計算），搭乘綠色運輸享5%現金回饋：以信用卡刷卡購買臺鐵、高鐵之交易金額即享5%現金回饋（每戶每月帳單回饋上限100元）；於北/桃/高捷、臺鐵、高鐵、貓纜之自動加值金額即享5%現金回饋（每戶每月帳單回饋上限100元）
消費登錄享6期/12期分期0利率，單筆一般消費滿5,000元，享6期分期0利率；單筆一般消費滿8,000元，享12期分期0利率。需事先登錄
首次申辦綠活卡 新戶享保費回饋1.6%，首次申辦綠活卡之新戶，於核卡後一年內之保險類別交易享1.6%回饋 (現金加碼回饋1.2% +卡片紅利積點（15元1點銀行紅利）) ，每戶每月回饋上限5,000元，正/附卡合併計算。",,"新戶首刷好禮6選1：OPENPOINT150,000點/刷卡金300元/手持式車用吸塵器/Mukanami智慧健康體重管理秤/Neoflam不沾湯鍋組/伊瑪imarflex三明治機
條件：活動期間申辦指定信用卡正卡之新戶，於核卡45天內，一般消費滿3筆新臺幣777元（含）以上或累計消費滿新臺幣3,000元（含）以上，完成登錄即享好禮6選1。至2018/6/30。","<活動一> 綠活卡（悠遊票證）看電影半價優惠
條件：<活動一> 訂票前月綠活卡（悠遊票證）一般消費每滿新臺幣1,000元，當月可獲得以「半價購買EZ訂2D全票電影票1張」之權利，每卡每月最多贈送2張。活動期間即日起至2018/12/31。",1.50%,"正卡年費:御璽卡NT$1200 首年免年費
免年費條件：年度累積消費達6萬元或消費滿 12次（含）以上，即免次年年費。",N/A,20,0.0000,https://www.energypark.org.tw/_admin/_upload/topGoal/GoalCom/373/photo4/LOGO-C(FB).jpg,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=1&cad=rja&uact=8&ved=0ahUKEwjJpbXWw-nbAhXUdt4KHW6mDx0QFggnMAA&url=https%3A%2F%2Fwww.firstbank.com.tw%2F&usg=AOvVaw0MLR2jOl_Cehc6E7w-aN4M
9,第一銀行,icash聯名卡,0.00%,0.00%,"電子支付功能(悠遊卡、一卡通、iCash)
通路聯名
加油停車","統一集團零售通路、量販超市、中油加油三大國內指定通路刷卡消費，無消費門檻，享一銀紅利點數3倍送(即15元3點)。
日韓地區消費，天天紅利5倍送(即15元5點)
月月消費月月贈OPENPOINT點數最高3萬點","日韓地區消費，每戶每月回饋上限10,000點。
完成活動登錄，於活動期間內當月一般消費滿新臺幣6,888元，加贈15,000點OPENPOINT；滿新臺幣15,000元，加贈30,000點OPENPOINT。可同時累積一銀紅利及OPENPOINT點數。","新戶首刷好禮6選1：OPENPOINT150,000點/刷卡金300元/手持式車用吸塵器/Mukanami智慧健康體重管理秤/Neoflam不沾湯鍋組/伊瑪imarflex三明治機
條件：活動期間申辦指定信用卡正卡之新戶，於核卡45天內，一般消費滿3筆新臺幣777元（含）以上或累計消費滿新臺幣3,000元（含）以上，完成登錄即享好禮6選1。至2018/6/30。","<活動ㄧ>每【週六、週日、週三】於全台7-ELEVEN OPENPOINT點數10倍送
<活動二>7-ELEVEN指定商品OPENPOINT點數加碼送
<活動三> 星巴克OPENPOINT 10倍送
限制：<活動ㄧ>每週三天於全台7ELEVEN以icash功能消費，享OPENPOINT點數10倍送。至2018/6/30。
<活動二>天天買CITY CAFE任一品項加贈OPENPOINT 500點等優惠，詳見官網。至2018/6/30。
<活動三> 星巴克天天OPENPOINT點數10倍送。至2018/6/30。",1.50%,"正卡年費:晶緻卡NT$1200 首年免年費
免年費條件：年消費一次不限金額，即免次年年費。",N/A,20,0.0000,https://www.energypark.org.tw/_admin/_upload/topGoal/GoalCom/373/photo4/LOGO-C(FB).jpg,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=1&cad=rja&uact=8&ved=0ahUKEwjJpbXWw-nbAhXUdt4KHW6mDx0QFggnMAA&url=https%3A%2F%2Fwww.firstbank.com.tw%2F&usg=AOvVaw0MLR2jOl_Cehc6E7w-aN4M
10,第一銀行,菁英御璽卡,0.00%,0.00%,加油停車,"天天紅利2倍回饋無上限
市區停車免費停車2小時","刷菁英御璽卡不限平、假日，於「加油站、汽車保養或汽車精品、3C週邊、代繳保險、高鐵購票」的刷卡金額，享2倍的紅利點數回饋(含原本的1倍，即15元2點）；其他一般消費亦享紅利回饋，累積超快速。
近一期信用卡帳單新增一般消費金額達8,000元(含)以上，或最近兩期帳單新增一般消費達15,000元(含)以上，持卡至「中興嘟嘟房、台灣聯通、福慧網」連鎖停車場，三家擇一家使用優惠，享每戶每日1次、每次2小時免費停車優惠。","新戶首刷好禮6選1：OPENPOINT150,000點/刷卡金300元/手持式車用吸塵器/Mukanami智慧健康體重管理秤/Neoflam不沾湯鍋組/伊瑪imarflex三明治機
條件：活動期間申辦指定信用卡正卡之新戶，於核卡45天內，一般消費滿3筆新臺幣777元（含）以上或累計消費滿新臺幣3,000元（含）以上，完成登錄即享好禮6選1。至2018/6/30。",N/A,1.50%,首年免年費,N/A,20,0.0000,https://www.energypark.org.tw/_admin/_upload/topGoal/GoalCom/373/photo4/LOGO-C(FB).jpg,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=1&cad=rja&uact=8&ved=0ahUKEwjJpbXWw-nbAhXUdt4KHW6mDx0QFggnMAA&url=https%3A%2F%2Fwww.firstbank.com.tw%2F&usg=AOvVaw0MLR2jOl_Cehc6E7w-aN4M
